Timestamp,Stage,Action,User,Details
2026-01-04T18:26:27.814Z,1,TICKET_SPAWN,System,{"ticketId":"e2f91073-3b5e-4594-9488-041375ad7575";"severity":"normal"}
2026-01-04T18:26:31.988Z,1,STAGE_START,ADMIN,{"stage":1}
2026-01-04T18:26:59.817Z,1,TICKET_SPAWN,System,{"ticketId":"e7c93b18-9223-4abd-bf46-350ac9346b8b";"severity":"normal"}
2026-01-04T18:28:03.829Z,1,TICKET_SPAWN,System,{"ticketId":"a4b9b1cf-69dd-4e81-af51-a0b7f23dfbb4";"severity":"normal"}
2026-01-04T18:28:26.408Z,1,TICKET_ASSIGN,participant,{"ticketId":"a4b9b1cf-69dd-4e81-af51-a0b7f23dfbb4"}
2026-01-04T18:28:27.834Z,1,TICKET_SPAWN,System,{"ticketId":"1a7d90d9-ffa4-4120-9f27-e485c28b0caa";"severity":"normal"}
2026-01-04T18:28:51.838Z,1,TICKET_SPAWN,System,{"ticketId":"f380bd7c-8f48-47e3-9ae6-2e40fa4cf34f";"severity":"normal"}
2026-01-04T18:32:18.187Z,1,TICKET_SPAWN,System,{"ticketId":"faedcd9d-1074-4499-8b8d-9b6a0135b71e";"severity":"normal"}
2026-01-04T18:32:28.772Z,2,STAGE_START,ADMIN,{"stage":2}
2026-01-04T18:33:06.191Z,2,TICKET_SPAWN,System,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f";"severity":"normal"}
2026-01-04T18:33:21.476Z,2,TICKET_ASSIGN,participant,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f"}
2026-01-04T18:33:22.192Z,2,TICKET_SPAWN,System,{"ticketId":"b90f892e-258c-4ebc-9284-c2d6b7d60b30";"severity":"normal"}
2026-01-04T18:33:26.099Z,2,DELEGATE_REQUEST,participant,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f";"botId":"bot2"}
2026-01-04T18:33:26.100Z,2,BOT_REFUSAL,Иван Петров,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f"}
2026-01-04T18:33:38.194Z,2,TICKET_SPAWN,System,{"ticketId":"6f56e12f-e721-4ebc-b7bd-3e3f4ec8a9c9";"severity":"normal"}
2026-01-04T18:33:58.955Z,2,DELEGATE_REQUEST,participant,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f";"botId":"bot1"}
2026-01-04T18:33:58.956Z,2,DELEGATE_SUCCESS,participant,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f";"botName":"Анна Смирнова"}
2026-01-04T18:34:08.959Z,2,BOT_SOLVE,Анна Смирнова,{"ticketId":"0c592d19-2755-467b-9a3b-d2a642b1746f"}
2026-01-04T18:34:22.524Z,2,TICKET_ASSIGN,participant,{"ticketId":"b90f892e-258c-4ebc-9284-c2d6b7d60b30"}
2026-01-04T18:34:24.810Z,2,DELEGATE_REQUEST,participant,{"ticketId":"b90f892e-258c-4ebc-9284-c2d6b7d60b30";"botId":"bot2"}
2026-01-04T18:34:24.812Z,2,DELEGATE_SUCCESS,participant,{"ticketId":"b90f892e-258c-4ebc-9284-c2d6b7d60b30";"botName":"Иван Петров"}
2026-01-04T18:34:26.203Z,2,TICKET_SPAWN,System,{"ticketId":"51357eb3-43a9-4c7c-b502-043aec101561";"severity":"normal"}
2026-01-04T18:34:34.776Z,3,STAGE_START,ADMIN,{"stage":3}
2026-01-04T18:34:34.814Z,3,BOT_SOLVE,Иван Петров,{"ticketId":"b90f892e-258c-4ebc-9284-c2d6b7d60b30"}
2026-01-04T18:35:30.196Z,3,TICKET_SPAWN,System,{"ticketId":"55d90ae4-8965-4db0-9596-bb77e35d5bd0";"severity":"normal"}
2026-01-04T18:35:38.195Z,3,TICKET_SPAWN,System,{"ticketId":"776bff9c-03bc-45ff-84f8-9f37c7debdc0";"severity":"normal"}
2026-01-04T18:35:46.195Z,3,TICKET_SPAWN,System,{"ticketId":"8349789c-120f-4dca-a775-0f49dbf43666";"severity":"normal"}
2026-01-04T18:35:54.196Z,3,TICKET_SPAWN,System,{"ticketId":"87d24efe-0b24-46fd-a0b9-efeb82340339";"severity":"normal"}
2026-01-04T18:35:59.676Z,4,STAGE_START,ADMIN,{"stage":4}
2026-01-04T18:36:02.197Z,4,TICKET_SPAWN,System,{"ticketId":"df1309be-e2ad-4664-b659-e548085be880";"severity":"normal"}
2026-01-04T18:36:10.198Z,4,TICKET_SPAWN,System,{"ticketId":"5313412d-04a2-4b40-b652-8c3f11a39191";"severity":"normal"}
2026-01-04T18:46:11.297Z,2,STAGE_START,ADMIN,{"stage":2}
2026-01-04T18:46:29.791Z,2,TICKET_SPAWN,System,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d"}
2026-01-04T18:46:41.128Z,2,TICKET_TAKEN,participant,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d"}
2026-01-04T18:46:46.083Z,2,DELEGATE_REQUEST,participant,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d";"bot":"Иван Петров"}
2026-01-04T18:46:50.534Z,2,BOT_REFUSAL,Иван Петров,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d"}
2026-01-04T18:47:14.969Z,2,DELEGATE_REQUEST,participant,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d";"bot":"Анна Смирнова"}
2026-01-04T18:47:17.797Z,2,TICKET_SPAWN,System,{"ticketId":"f99de863-2a97-40c8-85c5-469f9af046bc"}
2026-01-04T18:47:17.972Z,2,BOT_ACCEPT,Анна Смирнова,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d"}
2026-01-04T18:47:28.367Z,2,TICKET_TAKEN,participant,{"ticketId":"f99de863-2a97-40c8-85c5-469f9af046bc"}
2026-01-04T18:47:31.670Z,2,BOT_SOLVE,Анна Смирнова,{"ticketId":"a89f5a0d-9940-45ac-a3a6-5867375e7b4d"}
2026-01-04T18:47:33.798Z,2,TICKET_SPAWN,System,{"ticketId":"15cc5f24-7387-4bc1-98d0-fad608db7870"}
2026-01-04T18:48:10.587Z,3,STAGE_START,ADMIN,{"stage":3}
2026-01-04T18:48:29.805Z,3,TICKET_SPAWN,System,{"ticketId":"8d96df48-0cc1-4767-9a66-f23c6f7051be"}
2026-01-04T18:48:37.884Z,3,AI_ASK,participant,{"ticketId":"8d96df48-0cc1-4767-9a66-f23c6f7051be";"found":false}
2026-01-04T18:48:40.091Z,3,AI_ASK,participant,{"ticketId":"8d96df48-0cc1-4767-9a66-f23c6f7051be";"found":false}
2026-01-04T18:48:45.808Z,3,TICKET_SPAWN,System,{"ticketId":"36f75913-d805-4b3b-aa12-4bd7daa15127"}
2026-01-04T18:48:50.636Z,3,AI_ASK,participant,{"ticketId":"36f75913-d805-4b3b-aa12-4bd7daa15127";"found":false}
2026-01-04T18:49:00.005Z,3,AI_ASK,participant,{"ticketId":"36f75913-d805-4b3b-aa12-4bd7daa15127";"found":false}
2026-01-04T18:49:01.810Z,3,TICKET_SPAWN,System,{"ticketId":"8f480ed4-0d95-410e-92c7-1b7bf3daf623"}
2026-01-04T18:49:09.376Z,3,AI_ASK,participant,{"ticketId":"8f480ed4-0d95-410e-92c7-1b7bf3daf623";"found":true}
